"family","species","trait","trait_value"
"Acanthaceae","Crabbea velutina","LDMC",0.327807500383933
"Acanthaceae","Crabbea velutina","SLA",16.3905587721095
"Acanthaceae","Crabbea velutina","SRL",5158.00402799696
"Acanthaceae","Crabbea velutina","leaf_N",17.5442982283408
"Acanthaceae","Crabbea velutina","leaf_area",676.729740413612
"Acanthaceae","Crabbea velutina","leaf_dry_mass",35.5883689189064
"Acanthaceae","Crabbea velutina","plant_height_vegetative",0.312426209927305
"Acanthaceae","Crabbea velutina","seed_dry_mass",2.05728712017874
"Acanthaceae","Dyschoriste radicans","LDMC",0.347284419505468
"Acanthaceae","Dyschoriste radicans","SLA",14.5969738513319
"Acanthaceae","Dyschoriste radicans","SRL",6814.33320766834
"Acanthaceae","Dyschoriste radicans","leaf_N",24.0203209848403
"Acanthaceae","Dyschoriste radicans","leaf_area",484.535188889032
"Acanthaceae","Dyschoriste radicans","leaf_dry_mass",27.7071681758708
"Acanthaceae","Dyschoriste radicans","plant_height_vegetative",0.339019031648712
"Acanthaceae","Dyschoriste radicans","seed_dry_mass",3.19414908823207
"Acanthaceae","Lepidagathis anobrya","LDMC",0.318172020641675
"Acanthaceae","Lepidagathis anobrya","SLA",16.5750895974266
"Acanthaceae","Lepidagathis anobrya","SRL",5010.41356562786
"Acanthaceae","Lepidagathis anobrya","leaf_N",18.3369489870619
"Acanthaceae","Lepidagathis anobrya","leaf_area",787.473002600437
"Acanthaceae","Lepidagathis anobrya","leaf_dry_mass",42.5806754901305
"Acanthaceae","Lepidagathis anobrya","plant_height_vegetative",0.408282524948768
"Acanthaceae","Lepidagathis anobrya","seed_dry_mass",3.4897474382513
"Acanthaceae","Ruellia humilis","LDMC",0.318950244049689
"Acanthaceae","Ruellia humilis","SLA",17.2568010465347
"Acanthaceae","Ruellia humilis","SRL",2165.61750261335
"Acanthaceae","Ruellia humilis","leaf_N",17.1787168304397
"Acanthaceae","Ruellia humilis","leaf_area",935.40365187496
"Acanthaceae","Ruellia humilis","leaf_dry_mass",49.6435495516645
"Acanthaceae","Ruellia humilis","plant_height_vegetative",0.390400562906402
"Acanthaceae","Ruellia humilis","seed_dry_mass",4.05227958568932
"Acanthaceae","Ruellia nudiflora","LDMC",0.318883143439586
"Acanthaceae","Ruellia nudiflora","SLA",16.9388932921086
"Acanthaceae","Ruellia nudiflora","SRL",3710.49693991344
"Acanthaceae","Ruellia nudiflora","leaf_N",17.0851425122865
"Acanthaceae","Ruellia nudiflora","leaf_area",755.454836619659
"Acanthaceae","Ruellia nudiflora","leaf_dry_mass",42.7017400854295
"Acanthaceae","Ruellia nudiflora","plant_height_vegetative",0.294135955253577
"Acanthaceae","Ruellia nudiflora","seed_dry_mass",1.83402010330133
